keyword,category_id,priority
acelga,vegetables,15
aceite,pantry,10
aceituna,pantry,15
aceto,pantry,15
achicoria,vegetables,15
acondicionador,personal_care,10
adobo,pantry,10
afeitadora,personal_care,15
after shave,personal_care,15
agua,beverages,10
agua con gas,beverages,15
agua mineral,beverages,15
agua oxigenada,personal_care,15
agua saborizada,beverages,15
agua sin gas,beverages,15
agua micelar,personal_care,15
aguacate,vegetables,15 # Palta es más común, pero incluir por si acaso
aji,vegetables,10
aji molido,pantry,15
ajo,vegetables,10
albahaca,vegetables,15
albondiga,meat,10
alcaucil,vegetables,15
alcohol,personal_care,10
alfajor,pantry,15
alimento mascota,other,15
algodon,personal_care,10
alita,meat,15
almeja,meat,15
almendra,pantry,15
alpiste,other,10
amaranto,pantry,10
amargo,beverages,10
ambientador,cleaning,10
anana,vegetables,10
anana lata,pantry,10
anis,pantry,10
antiseptico,personal_care,15
antipolilla,cleaning,15
aperitivo,beverages,15
apio,vegetables,10
aposito,personal_care,10
arandano,vegetables,10
arena gato,other,15
aromatica,vegetables,10
arroz,pantry,10
articulo,other,5
arveja,pantry,10
arveja congelada,frozen,10
asado,meat,15
atun,pantry,15
avellana,pantry,15
avena,pantry,10
azucar,pantry,10
azul,dairy,15 # Queso azul
baguette,pantry,15
balde,cleaning,10
balsamico,pantry,15
banana,vegetables,10
baño,cleaning,15 # Limpiador baño
banda depilatoria,personal_care,15
bandeja,other,5
barbacoa,pantry,10 # Salsa
barra cereal,pantry,15
baston pescado,frozen,15
batata,vegetables,10
bay biscuit,pantry,10
bebida,beverages,5
berberecho,meat,15
berenjena,vegetables,15
berro,vegetables,15
bicarbonato,pantry,10
bife,meat,15
birome,other,10
bizcochuelo,pantry,10 # Premix
bizcocho,pantry,10
blanco,beverages,15 # Vino blanco
blanqueador,cleaning,15
bocadito,frozen,15
boldo,pantry,15
bolsa freezer,pantry,15
bolsa horno,pantry,15
bolsa residuo,cleaning,10
bombilla,other,10 # Para mate
bombon,pantry,10
bondiola,meat,15
boniato,vegetables,10 # Sinónimo batata
borraja,vegetables,15
brocoli,vegetables,15
brocoli congelado,frozen,10
bronceador,personal_care,15
bruselita,vegetables,15 # Col de bruselas
bucal,personal_care,15 # Enjuague bucal
buclera,personal_care,10
budin,pantry,10
buñuelo,frozen,10
caballa,pantry,15
caballa fresca,meat,15
cabernet,beverages,20
cable,other,10
cacao,pantry,10
cafe,pantry,10
caja,other,5
calabaza,vegetables,15
calamar,meat,15
caldo,pantry,10
calefactor,other,10
camaron,meat,15
camisa,other,10
camote,vegetables,10 # Sinónimo batata
canasta,other,5
canela,pantry,15
canelon,frozen,15
cangrejo,meat,15
caqui,vegetables,10
capilar,personal_care,15 # Mascarilla capilar
capsula,pantry,15 # Cafe
capuchino,pantry,10
caramelo,pantry,10
carbon,other,10
carne,meat,10
carne picada,meat,15
carnaza,meat,15
carozo,vegetables,10 # Zapallo
castaña,pantry,15
cedron,pantry,15
cebolla,vegetables,10
cepillo,cleaning,10 # Limpieza
cepillo dientes,personal_care,15
cepillo pelo,personal_care,10
cera,cleaning,10 # Piso
cera depilatoria,personal_care,15
cereal,pantry,10
cereza,vegetables,10
cerdo,meat,15
cerveza,beverages,10
champagne,beverages,15
champinon,vegetables,15
champinon lata,pantry,15
shampoo,personal_care,10
chardonnay,beverages,20
chaucha,vegetables,10
cheddar,dairy,15 # Queso
chia,pantry,15
chicle,pantry,10
chinchulin,meat,15
chip,pantry,15 # Snack
chipa,frozen,15
chivito,meat,15
choclo,vegetables,10
choclo congelado,frozen,10
choclo lata,pantry,10
chocolate,pantry,10
chocolatada,beverages,15
chorizo,meat,10
chuleta,meat,15
churrasco,meat,15
ciboulette,vegetables,15
sidra,beverages,10
cilantro,vegetables,15
cinta,other,10 # Adhesiva
ciruela,vegetables,10
clavo olor,pantry,15
cloro,cleaning,10 # Sinónimo lavandina
club soda,beverages,10 # Sinónimo soda
cobertura,pantry,15 # Chocolate
cocido,meat,15 # Jamón cocido
cocina rollo,cleaning,15
coco rallado,pantry,10
cognac,beverages,15
cola,beverages,15 # Gaseosa
colador,other,10
coliflor,vegetables,15
colonia,personal_care,10
comino,pantry,15
concentrado,beverages,15 # Jugo
condimento,pantry,10
conejo,meat,15
congelado,frozen,5
conserva,pantry,10
copa,other,10
copetin,pantry,10 # Mani, palitos, etc
cordero,meat,15
corvina,meat,15
cosa,other,5
cosmetico,personal_care,10
costilla,meat,15
cotonete,personal_care,10
cracker,pantry,10
crema,dairy,10
crema afeitar,personal_care,15
crema corporal,personal_care,15
crema depilatoria,personal_care,15
crema facial,personal_care,15
crema mano,personal_care,15
crema peinar,personal_care,15
cremoso,dairy,15 # Queso
croqueta,frozen,10
crudo,meat,15 # Jamón crudo
cuaderno,other,10
cuadrada,meat,15 # Nalga
cuadril,meat,15
cubierto,other,10
cubito,frozen,10 # Hielo
cuchara,other,10
cuchillo,other,10
curcuma,pantry,15
curita,personal_care,10
curry,pantry,15
cuscus,pantry,10
damasco,vegetables,10
dambo,dairy,15 # Queso
datil,vegetables,10
dentadura,personal_care,15 # Adhesivo/limpiador
dental,personal_care,15 # Hilo dental
dentifrico,personal_care,10
